vtkOriginalIndices,vtkOriginalPointIds,Points:0,Points:1,Points:2,__vtkIsSelected__,velocity:0,velocity:1,velocity:2
222,20792,-0.193841,2.55773,-2.3681,0,1.56895,17.2329,-56.613
223,4727,-0.1249,2.68924,-2.24631,0,0,0,0
224,35550,-0.0452213,2.53348,-2.35262,0,1.96697,13.839,-50.9937
225,30560,0.492342,2.02864,-3.39747,0,4.48735,12.9314,-31.7371
226,30608,0.325019,1.97649,-3.42014,0,5.90665,20.6262,-57.9141
227,36810,-0.035248,1.99136,-2.17259,0,-0.112449,17.8801,-51.3734
228,15344,-0.0163388,2.65345,-3.14658,0,5.88759,22.1196,-56.8849
229,22610,0.145974,2.58179,-3.18256,0,6.88643,22.1527,-56.9543
230,21994,0.137733,2.66506,-3.02563,0,6.71717,19.1473,-52.3699
231,23518,0.199796,2.71607,-3.16203,0,7.35035,17.8479,-43.9418
232,23785,-0.618205,2.07748,-1.47903,0,-0.650344,17.6586,-55.5922
233,43927,-0.581351,2.0741,-1.34019,0,-1.7627,17.4513,-53.8008
234,46680,-0.701741,1.97501,-1.3983,0,-3.3312,17.8354,-54.3342
235,19420,-0.620241,1.14538,-2.05061,0,-1.2023,17.579,-51.2831
236,20651,-0.507218,1.05428,-1.93952,0,-2.40589,19.1959,-51.6846
237,17409,-0.601542,1.19865,-1.87889,0,-0.372717,20.9376,-52.7985
238,20864,-0.469915,1.21733,-1.99416,0,-0.788915,18.7243,-52.1779
239,4855,0.243936,1.52461,-3.45884,0,0,0,0
240,18679,0.131667,1.65646,-3.52357,0,7.71374,17.559,-43.9985
241,4875,0.392816,1.66261,-3.49098,0,0,0,0
242,36516,0.183452,1.70199,-3.38789,0,6.64417,18.729,-49.8756
243,17601,-0.507305,2.50219,-4.10931,0,9.12782,15.1629,-44.7935
244,39219,-0.63097,2.60362,-4.1893,0,8.9999,16.3393,-48.5807
245,21684,-0.622131,2.46092,-4.2645,0,9.65225,17.3563,-49.3393
246,44241,-0.504968,2.55188,-4.24981,0,10.1451,15.4048,-45.1934
247,21704,0.0331007,2.74357,-3.60898,0,7.90324,20.9816,-51.1437
248,38790,-0.063106,2.61128,-3.61333,0,7.15052,18.1283,-46.8326
249,14009,0.0720256,2.59864,-3.74396,0,8.18633,18.2216,-46.5598
250,40817,-0.0551219,2.62915,-3.78615,0,8.30051,17.0722,-44.756
251,18968,-0.744312,1.56581,-1.99975,0,0.625217,17.865,-50.6308
252,36399,-0.793692,1.68403,-1.78207,0,-0.430623,17.6087,-51.9675
253,17380,-0.697697,1.73206,-1.87093,0,-0.255389,16.8077,-48.111
254,44408,-0.697393,1.53021,-1.828,0,-0.505876,17.2216,-48.7278
255,4603,0.525616,1.50471,-2.04249,0,0,0,0
256,22707,0.407659,1.58131,-1.99104,0,0.257467,17.9736,-50.7322
257,20006,0.386591,1.57685,-2.20106,0,-0.490421,13.748,-47.8503
258,23614,0.444524,1.6456,-2.10221,0,-1.21451,13.6013,-47.2501
259,13885,-0.642684,2.29475,-4.15993,0,9.04777,18.7121,-52.4808
260,23406,-0.758144,2.378,-4.03448,0,7.70492,17.0198,-49.7523
261,13991,-0.79732,2.19291,-4.0488,0,8.45699,15.0629,-48.1472
262,24346,-0.869917,2.31035,-4.11111,0,6.69562,11.3328,-36.8301
263,25958,-0.189425,2.62348,-3.11318,0,4.73299,21.1035,-53.9286
264,27228,-0.06203,2.5928,-3.289,0,5.95846,21.0786,-51.6537
